"model","rowid","timestamp","testletid","itemid","alphabet","A","B","C","D","template_nr","item_prompt","response","logprob","finish_reason","cleaned_response","correct_response","correct","stringdist"
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",10,20241026194220,33,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa",1,"If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa kappa",NA,NA,"theta kappa kappa","theta kappa kappa",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",11,20241026194221,33,1005,"Greek","gamma delta","beta delta","eta eta theta theta","zeta zeta theta theta",1,"If gamma delta changes to beta delta, what does eta eta theta theta change to ?","zeta zeta theta theta",NA,NA,"zeta zeta theta theta","zeta zeta theta theta",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",12,20241026194221,33,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","$ ~",NA,NA,"$ ~","$ =",0,1
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",13,20241026194222,33,1002,"Symbol","* @","* * % %","! ^","! ! # #",1,"If * @ changes to * * % %, what does ! ^ change to ?","! ! # #",NA,NA,"! ! # #","! ! # #",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",14,20241026194223,33,1003,"Symbol","# ~","# {","~ $","~ =",1,"If # ~ changes to # {, what does ~ $ change to ?","~ {",NA,NA,"~ {","~ =",0,1
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",15,20241026194224,33,1004,"Symbol","@ %","@ ! !","# ~","# $ $",1,"If @ % changes to @ ! !, what does # ~ change to ?","# !!",NA,NA,"# !!","# $ $",0,2
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",16,20241026194226,33,1005,"Symbol","! ^","% ^","$ $ { {","~ ~ { {",1,"If ! ^ changes to % ^, what does $ $ { { change to ?","$ $ ~ ~",NA,NA,"$ $ ~ ~","~ ~ { {",0,4
"google/gemma-2-27b-it",0,20241026194226,33,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"google/gemma-2-27b-it",1,20241026194226,33,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k 
",NA,NA,"j k k","j k k",1,0
"google/gemma-2-27b-it",2,20241026194227,33,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","h k 
",NA,NA,"h k","h j",0,1
"google/gemma-2-27b-it",3,20241026194227,33,1002,"Latin","b c","b b d d","h i","h h j j",1,"If b c changes to b b d d, what does h i change to ?","h h j j 
",NA,NA,"h h j j","h h j j",1,0
"google/gemma-2-27b-it",4,20241026194228,33,1003,"Latin","g h","g j","k l","k n",1,"If g h changes to g j, what does k l change to ?","k n 
",NA,NA,"k n","k n",1,0
"google/gemma-2-27b-it",5,20241026194229,33,1004,"Latin","a b","a c c","f g","f h h",1,"If a b changes to a c c, what does f g change to ?","f h h 
",NA,NA,"f h h","f h h",1,0
"google/gemma-2-27b-it",6,20241026194229,33,1005,"Latin","d e","c e","k k l l","j j l l",1,"If d e changes to c e, what does k k l l change to ?","j j l l 
",NA,NA,"j j l l","j j l l",1,0
"google/gemma-2-27b-it",7,20241026194230,33,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda 
",NA,NA,"iota lambda","iota lambda",1,0
"google/gemma-2-27b-it",8,20241026194231,33,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota",1,"If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta kappa kappa 
",NA,NA,"eta eta kappa kappa","eta eta iota iota",0,2
"google/gemma-2-27b-it",9,20241026194231,33,1003,"Greek","epsilon zeta","epsilon theta","iota kappa","iota mu",1,"If epsilon zeta changes to epsilon theta, what does iota kappa change to ?","iota theta 
",NA,NA,"iota theta","iota mu",0,1
"google/gemma-2-27b-it",10,20241026194232,33,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa",1,"If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa kappa 
",NA,NA,"theta kappa kappa","theta kappa kappa",1,0
"google/gemma-2-27b-it",11,20241026194232,33,1005,"Greek","gamma delta","beta delta","eta eta theta theta","zeta zeta theta theta",1,"If gamma delta changes to beta delta, what does eta eta theta theta change to ?","beta beta theta theta 
",NA,NA,"beta beta theta theta","zeta zeta theta theta",0,2
"google/gemma-2-27b-it",12,20241026194233,33,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","$ = 
",NA,NA,"$ =","$ =",1,0
"google/gemma-2-27b-it",13,20241026194233,33,1002,"Symbol","* @","* * % %","! ^","! ! # #",1,"If * @ changes to * * % %, what does ! ^ change to ?","! ! # # 
",NA,NA,"! ! # #","! ! # #",1,0
"google/gemma-2-27b-it",14,20241026194234,33,1003,"Symbol","# ~","# {","~ $","~ =",1,"If # ~ changes to # {, what does ~ $ change to ?","~ = 
",NA,NA,"~ =","~ =",1,0
"google/gemma-2-27b-it",15,20241026194239,33,1004,"Symbol","@ %","@ ! !","# ~","# $ $",1,"If @ % changes to @ ! !, what does # ~ change to ?","# = 
",NA,NA,"# =","# $ $",0,2
"google/gemma-2-27b-it",16,20241026194243,33,1005,"Symbol","! ^","% ^","$ $ { {","~ ~ { {",1,"If ! ^ changes to % ^, what does $ $ { { change to ?","% % { {",NA,NA,"% % { {","~ ~ { {",0,2
"google/gemma-2-9b-it",0,20241026194243,33,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k 
",NA,NA,"k","k",1,0
"google/gemma-2-9b-it",1,20241026194244,33,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k 
",NA,NA,"j k k","j k k",1,0
"google/gemma-2-9b-it",2,20241026194245,33,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","h j 
",NA,NA,"h j","h j",1,0
"google/gemma-2-9b-it",3,20241026194245,33,1002,"Latin","b c","b b d d","h i","h h j j",1,"If b c changes to b b d d, what does h i change to ?","h j j j 
",NA,NA,"h j j j","h h j j",0,1
"google/gemma-2-9b-it",4,20241026194246,33,1003,"Latin","g h","g j","k l","k n",1,"If g h changes to g j, what does k l change to ?","k n 
",NA,NA,"k n","k n",1,0
"google/gemma-2-9b-it",5,20241026194247,33,1004,"Latin","a b","a c c","f g","f h h",1,"If a b changes to a c c, what does f g change to ?","f h h 
",NA,NA,"f h h","f h h",1,0
"google/gemma-2-9b-it",6,20241026194247,33,1005,"Latin","d e","c e","k k l l","j j l l",1,"If d e changes to c e, what does k k l l change to ?","j j k k 
",NA,NA,"j j k k","j j l l",0,2
"google/gemma-2-9b-it",7,20241026194248,33,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda 
",NA,NA,"iota lambda","iota lambda",1,0
"google/gemma-2-9b-it",8,20241026194249,33,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota",1,"If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta zeta 
",NA,NA,"eta zeta","eta eta iota iota",0,3
"google/gemma-2-9b-it",9,20241026194249,33,1003,"Greek","epsilon zeta","epsilon theta","iota kappa","iota mu",1,"If epsilon zeta changes to epsilon theta, what does iota kappa change to ?","iota lambda 
",NA,NA,"iota lambda","iota mu",0,1
"google/gemma-2-9b-it",10,20241026194250,33,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa",1,"If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa 
",NA,NA,"theta kappa","theta kappa kappa",0,1
"google/gemma-2-9b-it",11,20241026194251,33,1005,"Greek","gamma delta","beta delta","eta eta theta theta","zeta zeta theta theta",1,"If gamma delta changes to beta delta, what does eta eta theta theta change to ?","beta beta phi phi 
",NA,NA,"beta beta phi phi","zeta zeta theta theta",0,4
"google/gemma-2-9b-it",12,20241026194251,33,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","$ } 
",NA,NA,"$ }","$ =",0,1
"google/gemma-2-9b-it",13,20241026194252,33,1002,"Symbol","* @","* * % %","! ^","! ! # #",1,"If * @ changes to * * % %, what does ! ^ change to ?","! # 
",NA,NA,"! #","! ! # #",0,2
"google/gemma-2-9b-it",14,20241026194252,33,1003,"Symbol","# ~","# {","~ $","~ =",1,"If # ~ changes to # {, what does ~ $ change to ?","~ } 
",NA,NA,"~ }","~ =",0,1
"google/gemma-2-9b-it",15,20241026194253,33,1004,"Symbol","@ %","@ ! !","# ~","# $ $",1,"If @ % changes to @ ! !, what does # ~ change to ?","# { 
",NA,NA,"# {","# $ $",0,2
"google/gemma-2-9b-it",16,20241026194253,33,1005,"Symbol","! ^","% ^","$ $ { {","~ ~ { {",1,"If ! ^ changes to % ^, what does $ $ { { change to ?","% % } } 
",NA,NA,"% % } }","~ ~ { {",0,4
"claude-3-5-sonnet-20241022",0,20241026201739,34,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"claude-3-5-sonnet-20241022",1,20241026201740,34,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"claude-3-5-sonnet-20241022",2,20241026201740,34,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","h j",NA,NA,"h j","h j",1,0
"claude-3-5-sonnet-20241022",3,20241026201741,34,1002,"Latin","c d","c c e e","i j","i i k k",1,"If c d changes to c c e e, what does i j change to ?","i i k k",NA,NA,"i i k k","i i k k",1,0
"claude-3-5-sonnet-20241022",4,20241026201741,34,1003,"Latin","f g","f i","j k","j m",1,"If f g changes to f i, what does j k change to ?","j m",NA,NA,"j m","j m",1,0
"claude-3-5-sonnet-20241022",5,20241026201742,34,1004,"Latin","d e","d f f","g h","g i i",1,"If d e changes to d f f, what does g h change to ?","g i i",NA,NA,"g i i","g i i",1,0
"claude-3-5-sonnet-20241022",6,20241026201743,34,1005,"Latin","c d","b d","j j k k","i i k k",1,"If c d changes to b d, what does j j k k change to ?","i j k k",NA,NA,"i j k k","i i k k",0,1
"claude-3-5-sonnet-20241022",7,20241026201744,34,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda",NA,NA,"iota lambda","iota lambda",1,0
"claude-3-5-sonnet-20241022",8,20241026201745,34,1002,"Greek","beta gamma","beta beta delta delta","theta iota","theta theta kappa kappa",1,"If beta gamma changes to beta beta delta delta, what does theta iota change to ?","theta theta kappa kappa",NA,NA,"theta theta kappa kappa","theta theta kappa kappa",1,0
"claude-3-5-sonnet-20241022",9,20241026201745,34,1003,"Greek","delta epsilon","delta eta","theta iota","theta lambda",1,"If delta epsilon changes to delta eta, what does theta iota change to ?","theta kappa",NA,NA,"theta kappa","theta lambda",0,1
"claude-3-5-sonnet-20241022",10,20241026201746,34,1004,"Greek","eta theta","eta iota iota","lambda mu","lambda nu nu",1,"If eta theta changes to eta iota iota, what does lambda mu change to ?","lambda nu nu",NA,NA,"lambda nu nu","lambda nu nu",1,0
"claude-3-5-sonnet-20241022",11,20241026201748,34,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta",1,"If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","epsilon zeta eta eta",NA,NA,"epsilon zeta eta eta","epsilon epsilon eta eta",0,1
"claude-3-5-sonnet-20241022",12,20241026201749,34,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","$ =",NA,NA,"$ =","$ =",1,0
"claude-3-5-sonnet-20241022",13,20241026201750,34,1002,"Symbol","@ %","@ @ ! !","^ #","^ ^ ~ ~",1,"If @ % changes to @ @ ! !, what does ^ # change to ?","^ ^ ~ ~",NA,NA,"^ ^ ~ ~","^ ^ ~ ~",1,0
"claude-3-5-sonnet-20241022",14,20241026201751,34,1003,"Symbol","^ #","^ $","# ~","# {",1,"If ^ # changes to ^ $, what does # ~ change to ?","# }",NA,NA,"# }","# {",0,1
"claude-3-5-sonnet-20241022",15,20241026201752,34,1004,"Symbol","! ^","! # #","$ {","$ = =",1,"If ! ^ changes to ! # #, what does $ { change to ?","$ = =",NA,NA,"$ = =","$ = =",1,0
"claude-3-5-sonnet-20241022",16,20241026201753,34,1005,"Symbol","% !","@ !","~ ~ $ $","# # $ $",1,"If % ! changes to @ !, what does ~ ~ $ $ change to ?","} } { {",NA,NA,"} } { {","# # $ $",0,4
"claude-3-sonnet-20240229",0,20241026201754,34,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"claude-3-sonnet-20240229",1,20241026201754,34,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"claude-3-sonnet-20240229",2,20241026201755,34,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","h j",NA,NA,"h j","h j",1,0
"claude-3-sonnet-20240229",3,20241026201756,34,1002,"Latin","c d","c c e e","i j","i i k k",1,"If c d changes to c c e e, what does i j change to ?","i k k k",NA,NA,"i k k k","i i k k",0,1
"claude-3-sonnet-20240229",4,20241026201756,34,1003,"Latin","f g","f i","j k","j m",1,"If f g changes to f i, what does j k change to ?","j m",NA,NA,"j m","j m",1,0
"claude-3-sonnet-20240229",5,20241026201757,34,1004,"Latin","d e","d f f","g h","g i i",1,"If d e changes to d f f, what does g h change to ?","g i i",NA,NA,"g i i","g i i",1,0
"claude-3-sonnet-20240229",6,20241026201757,34,1005,"Latin","c d","b d","j j k k","i i k k",1,"If c d changes to b d, what does j j k k change to ?","i j k k",NA,NA,"i j k k","i i k k",0,1
"claude-3-sonnet-20240229",7,20241026201758,34,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda",NA,NA,"iota lambda","iota lambda",1,0
"claude-3-sonnet-20240229",8,20241026201800,34,1002,"Greek","beta gamma","beta beta delta delta","theta iota","theta theta kappa kappa",1,"If beta gamma changes to beta beta delta delta, what does theta iota change to ?","theta iota iota iota",NA,NA,"theta iota iota iota","theta theta kappa kappa",0,3
"claude-3-sonnet-20240229",9,20241026201801,34,1003,"Greek","delta epsilon","delta eta","theta iota","theta lambda",1,"If delta epsilon changes to delta eta, what does theta iota change to ?","theta nu",NA,NA,"theta nu","theta lambda",0,1
"claude-3-sonnet-20240229",10,20241026201803,34,1004,"Greek","eta theta","eta iota iota","lambda mu","lambda nu nu",1,"If eta theta changes to eta iota iota, what does lambda mu change to ?","lambda nu nu",NA,NA,"lambda nu nu","lambda nu nu",1,0
"claude-3-sonnet-20240229",11,20241026201804,34,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta",1,"If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","epsilon epsilon eta eta",NA,NA,"epsilon epsilon eta eta","epsilon epsilon eta eta",1,0
"claude-3-sonnet-20240229",12,20241026201805,34,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","$ =",NA,NA,"$ =","$ =",1,0
"claude-3-sonnet-20240229",13,20241026201806,34,1002,"Symbol","@ %","@ @ ! !","^ #","^ ^ ~ ~",1,"If @ % changes to @ @ ! !, what does ^ # change to ?","^ %
~ $
) )",NA,NA,"^ % ~ $ ) )","^ ^ ~ ~",0,4
"claude-3-sonnet-20240229",14,20241026201807,34,1003,"Symbol","^ #","^ $","# ~","# {",1,"If ^ # changes to ^ $, what does # ~ change to ?","% ~",NA,NA,"% ~","# {",0,2
"claude-3-sonnet-20240229",15,20241026201808,34,1004,"Symbol","! ^","! # #","$ {","$ = =",1,"If ! ^ changes to ! # #, what does $ { change to ?","$ } } }",NA,NA,"$ } } }","$ = =",0,3
"claude-3-sonnet-20240229",16,20241026201809,34,1005,"Symbol","% !","@ !","~ ~ $ $","# # $ $",1,"If % ! changes to @ !, what does ~ ~ $ $ change to ?","k
j k k
h j
i",NA,NA,"k j k k h j i","# # $ $",0,7
"gpt-3.5-turbo-0125",0,20241026191300,34,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"gpt-3.5-turbo-0125",1,20241026191301,34,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"gpt-3.5-turbo-0125",2,20241026191301,34,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","h j",NA,NA,"h j","h j",1,0
"gpt-3.5-turbo-0125",3,20241026191302,34,1002,"Latin","c d","c c e e","i j","i i k k",1,"If c d changes to c c e e, what does i j change to ?","i i l l",NA,NA,"i i l l","i i k k",0,2
"gpt-3.5-turbo-0125",4,20241026191302,34,1003,"Latin","f g","f i","j k","j m",1,"If f g changes to f i, what does j k change to ?","j n",NA,NA,"j n","j m",0,1
"gpt-3.5-turbo-0125",5,20241026191303,34,1004,"Latin","d e","d f f","g h","g i i",1,"If d e changes to d f f, what does g h change to ?","g i i",NA,NA,"g i i","g i i",1,0
"gpt-3.5-turbo-0125",6,20241026191303,34,1005,"Latin","c d","b d","j j k k","i i k k",1,"If c d changes to b d, what does j j k k change to ?","i i k k",NA,NA,"i i k k","i i k k",1,0
"gpt-3.5-turbo-0125",7,20241026191304,34,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda",NA,NA,"iota lambda","iota lambda",1,0
"gpt-3.5-turbo-0125",8,20241026191304,34,1002,"Greek","beta gamma","beta beta delta delta","theta iota","theta theta kappa kappa",1,"If beta gamma changes to beta beta delta delta, what does theta iota change to ?","theta theta kappa kappa",NA,NA,"theta theta kappa kappa","theta theta kappa kappa",1,0
"gpt-3.5-turbo-0125",9,20241026191305,34,1003,"Greek","delta epsilon","delta eta","theta iota","theta lambda",1,"If delta epsilon changes to delta eta, what does theta iota change to ?","theta lambda",NA,NA,"theta lambda","theta lambda",1,0
"gpt-3.5-turbo-0125",10,20241026191305,34,1004,"Greek","eta theta","eta iota iota","lambda mu","lambda nu nu",1,"If eta theta changes to eta iota iota, what does lambda mu change to ?","lambda mu mu",NA,NA,"lambda mu mu","lambda nu nu",0,2
"gpt-3.5-turbo-0125",11,20241026191306,34,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta",1,"If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","alpha alpha eta eta",NA,NA,"alpha alpha eta eta","epsilon epsilon eta eta",0,2
"gpt-3.5-turbo-0125",12,20241026191306,34,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","$ { changes to $ =",NA,NA,"$ =","$ =",1,0
"gpt-3.5-turbo-0125",13,20241026191307,34,1002,"Symbol","@ %","@ @ ! !","^ #","^ ^ ~ ~",1,"If @ % changes to @ @ ! !, what does ^ # change to ?","@ @",NA,NA,"@ @","^ ^ ~ ~",0,4
"gpt-3.5-turbo-0125",14,20241026191307,34,1003,"Symbol","^ #","^ $","# ~","# {",1,"If ^ # changes to ^ $, what does # ~ change to ?","$ =",NA,NA,"$ =","# {",0,2
"gpt-3.5-turbo-0125",15,20241026191308,34,1004,"Symbol","! ^","! # #","$ {","$ = =",1,"If ! ^ changes to ! # #, what does $ { change to ?","$ =",NA,NA,"$ =","$ = =",0,1
"gpt-3.5-turbo-0125",16,20241026191308,34,1005,"Symbol","% !","@ !","~ ~ $ $","# # $ $",1,"If % ! changes to @ !, what does ~ ~ $ $ change to ?","$ $ @ @",NA,NA,"$ $ @ @","# # $ $",0,4
"gpt-4-0613",0,20241026191309,34,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"gpt-4-0613",1,20241026191309,34,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"gpt-4-0613",2,20241026191310,34,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","h j",NA,NA,"h j","h j",1,0
"gpt-4-0613",3,20241026191310,34,1002,"Latin","c d","c c e e","i j","i i k k",1,"If c d changes to c c e e, what does i j change to ?","i i j j",NA,NA,"i i j j","i i k k",0,2
"gpt-4-0613",4,20241026191311,34,1003,"Latin","f g","f i","j k","j m",1,"If f g changes to f i, what does j k change to ?","j l",NA,NA,"j l","j m",0,1
"gpt-4-0613",5,20241026191311,34,1004,"Latin","d e","d f f","g h","g i i",1,"If d e changes to d f f, what does g h change to ?","g h h",NA,NA,"g h h","g i i",0,2
"gpt-4-0613",6,20241026191312,34,1005,"Latin","c d","b d","j j k k","i i k k",1,"If c d changes to b d, what does j j k k change to ?","i j k k",NA,NA,"i j k k","i i k k",0,1
"gpt-4-0613",7,20241026191313,34,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda",NA,NA,"iota lambda","iota lambda",1,0
"gpt-4-0613",8,20241026191313,34,1002,"Greek","beta gamma","beta beta delta delta","theta iota","theta theta kappa kappa",1,"If beta gamma changes to beta beta delta delta, what does theta iota change to ?","theta theta iota iota",NA,NA,"theta theta iota iota","theta theta kappa kappa",0,2
"gpt-4-0613",9,20241026191314,34,1003,"Greek","delta epsilon","delta eta","theta iota","theta lambda",1,"If delta epsilon changes to delta eta, what does theta iota change to ?","theta kappa",NA,NA,"theta kappa","theta lambda",0,1
"gpt-4-0613",10,20241026191314,34,1004,"Greek","eta theta","eta iota iota","lambda mu","lambda nu nu",1,"If eta theta changes to eta iota iota, what does lambda mu change to ?","lambda nu nu",NA,NA,"lambda nu nu","lambda nu nu",1,0
"gpt-4-0613",11,20241026191315,34,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta",1,"If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","zeta zeta zeta zeta",NA,NA,"zeta zeta zeta zeta","epsilon epsilon eta eta",0,4
"gpt-4-0613",12,20241026191315,34,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","$ #",NA,NA,"$ #","$ =",0,1
"gpt-4-0613",13,20241026191316,34,1002,"Symbol","@ %","@ @ ! !","^ #","^ ^ ~ ~",1,"If @ % changes to @ @ ! !, what does ^ # change to ?","^ ^ # #",NA,NA,"^ ^ # #","^ ^ ~ ~",0,2
"gpt-4-0613",14,20241026191316,34,1003,"Symbol","^ #","^ $","# ~","# {",1,"If ^ # changes to ^ $, what does # ~ change to ?","# $",NA,NA,"# $","# {",0,1
"gpt-4-0613",15,20241026191317,34,1004,"Symbol","! ^","! # #","$ {","$ = =",1,"If ! ^ changes to ! # #, what does $ { change to ?","$ # #",NA,NA,"$ # #","$ = =",0,2
"gpt-4-0613",16,20241026191318,34,1005,"Symbol","% !","@ !","~ ~ $ $","# # $ $",1,"If % ! changes to @ !, what does ~ ~ $ $ change to ?","@ @ ~ ~",NA,NA,"@ @ ~ ~","# # $ $",0,4
"gpt-4o-2024-08-06",0,20241026191318,34,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"gpt-4o-2024-08-06",1,20241026191318,34,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"gpt-4o-2024-08-06",2,20241026191319,34,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","h j",NA,NA,"h j","h j",1,0
"gpt-4o-2024-08-06",3,20241026191319,34,1002,"Latin","c d","c c e e","i j","i i k k",1,"If c d changes to c c e e, what does i j change to ?","i i l l",NA,NA,"i i l l","i i k k",0,2
"gpt-4o-2024-08-06",4,20241026191320,34,1003,"Latin","f g","f i","j k","j m",1,"If f g changes to f i, what does j k change to ?","j m",NA,NA,"j m","j m",1,0
"gpt-4o-2024-08-06",5,20241026191320,34,1004,"Latin","d e","d f f","g h","g i i",1,"If d e changes to d f f, what does g h change to ?","g i i",NA,NA,"g i i","g i i",1,0
"gpt-4o-2024-08-06",6,20241026191320,34,1005,"Latin","c d","b d","j j k k","i i k k",1,"If c d changes to b d, what does j j k k change to ?","i i k k",NA,NA,"i i k k","i i k k",1,0
"gpt-4o-2024-08-06",7,20241026191321,34,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda",NA,NA,"iota lambda","iota lambda",1,0
"gpt-4o-2024-08-06",8,20241026191321,34,1002,"Greek","beta gamma","beta beta delta delta","theta iota","theta theta kappa kappa",1,"If beta gamma changes to beta beta delta delta, what does theta iota change to ?","theta theta kappa kappa",NA,NA,"theta theta kappa kappa","theta theta kappa kappa",1,0
"gpt-4o-2024-08-06",9,20241026191322,34,1003,"Greek","delta epsilon","delta eta","theta iota","theta lambda",1,"If delta epsilon changes to delta eta, what does theta iota change to ?","theta lambda",NA,NA,"theta lambda","theta lambda",1,0
"gpt-4o-2024-08-06",10,20241026191322,34,1004,"Greek","eta theta","eta iota iota","lambda mu","lambda nu nu",1,"If eta theta changes to eta iota iota, what does lambda mu change to ?","lambda nu nu",NA,NA,"lambda nu nu","lambda nu nu",1,0
"gpt-4o-2024-08-06",11,20241026191322,34,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta",1,"If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","alpha alpha eta eta",NA,NA,"alpha alpha eta eta","epsilon epsilon eta eta",0,2
"gpt-4o-2024-08-06",12,20241026191323,34,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","$ =",NA,NA,"$ =","$ =",1,0
"gpt-4o-2024-08-06",13,20241026191323,34,1002,"Symbol","@ %","@ @ ! !","^ #","^ ^ ~ ~",1,"If @ % changes to @ @ ! !, what does ^ # change to ?","^ ^ ~ ~",NA,NA,"^ ^ ~ ~","^ ^ ~ ~",1,0
"gpt-4o-2024-08-06",14,20241026191324,34,1003,"Symbol","^ #","^ $","# ~","# {",1,"If ^ # changes to ^ $, what does # ~ change to ?","$ {",NA,NA,"$ {","# {",0,1
"gpt-4o-2024-08-06",15,20241026191324,34,1004,"Symbol","! ^","! # #","$ {","$ = =",1,"If ! ^ changes to ! # #, what does $ { change to ?","$ = =",NA,NA,"$ = =","$ = =",1,0
"gpt-4o-2024-08-06",16,20241026191324,34,1005,"Symbol","% !","@ !","~ ~ $ $","# # $ $",1,"If % ! changes to @ !, what does ~ ~ $ $ change to ?","@ @ $ $",NA,NA,"@ @ $ $","# # $ $",0,2
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",0,20241026194256,34,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",1,20241026194256,34,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","k",NA,NA,"k","j k k",0,2
